stand,plot,year,total_volume,total_mass,total_cover,total_area
WS08,16,2003,91.80,29.16,0.17,1320.93
WS08,17,2003,520.04,217.76,0.5408499999999999,4407.43
WS08,18,2003,118.63,31.39,0.50,1917.4261999999999
WS08,19,2003,158.06629999999998,52.04,0.22089999999999999,3416.76
WS08,2,2003,76.89871000000001,18.85,0.18,677.50
WS08,20,2003,355.80,78.91,1.26,3581.72
WS08,21,2003,494.96500000000003,134.39,0.8712899999999999,2535.22
WS08,22,2003,62.13,19.12,0.12,1633.78
WS08,3,2003,110.14,26.84,0.77,552.94
WS08,4,2003,142.86,40.91,0.40,628.31
WS08,5,2003,58.96,8.22,0.58,259.79
WS08,6,2003,55.41,18.067619999999998,0.24,596.34
WS08,7,2003,192.75,47.81,0.36,1337.85
WS08,8,2003,181.92,50.45,0.42,1135.3357999999998
WS08,9,2003,106.14,19.98,0.53,523.09
WS09,1,2003,107.90199999999999,23.244120000000002,1.20,247.23
WS09,10,2003,26.72,7.54,0.13624999999999998,492.42
WS09,11,2003,184.53,49.44,0.26,942.24
WS09,12,2003,52.75,13.76,0.19,550.91
WS09,13,2003,347.87,93.92793999999999,0.42,2398.37
WS09,14,2003,120.82,39.559110000000004,0.24,652.75
WS09,15,2003,69.11,19.05,0.66,1105.3787499999999
WS09,16,2003,50.17,15.31,0.25,879.09
WS09,2,2003,8.628720000000001,1.4063100000000002,0.07,99.02
WS09,3,2003,83.43,19.903080000000003,0.18,486.41
WS09,5,2003,7.77,2.15,0.02,133.12
WS09,6,2003,180.76,50.12,0.11009999999999999,1160.66
WS09,7,2003,60.95,20.88,0.10,902.34
WS09,8,2003,23.02,7.51,0.14,196.91
WS09,9,2003,282.90081999999995,94.04,0.15,1388.32
